Title,Title_CKIP,Category
虎尾糖鐵五分車串連高鐵台鐵景點,虎尾　糖鐵　五　分　車　串連　高鐵　台鐵　景點,e
長者搭電梯身故高捷：責任認定後理賠,長者　搭　電梯　身故　高捷　：　責任　認定　後　理賠,o
老翁搭電梯摔死高捷：待責任鑑定,老翁　搭　電梯　摔死　高捷　：　待　責任　鑑定,o
搭捷運站到腿滲血塵爆傷者爸爸落淚,搭　捷運　站到　腿　滲　血塵爆　傷者　爸爸　落淚,o
王定宇趕流行po北捷車廂人少照片,王定宇　趕流行　po　北捷　車廂　人　少　照片,o
聯結車撞橋墩桃捷停擺未延誤旅客搭機[影],聯結　車撞　橋墩　桃捷　停擺　未　延誤　旅客　搭機　[　影　],t
台南捷運3年後動工　預計2024年完工,台南　捷運　3　年　後　動工　預計　2024年　完工,o
大眾運輸4G下載速率板南線優高鐵最差,大眾　運輸　4　G　下載　速率　板　南　線　優　高鐵　最　差,s
解答轉乘問題桃捷親善大使駐點桃機,解答　轉乘　問題　桃捷　親善大使　駐點桃機,o
颱風逼近高鐵憂異物飄入電車線籲固定,颱風　逼近　高鐵　憂　異物　飄入　電車　線籲　固定,o
高鐵上演活春宮　赤裸男女台中站被請下車,高鐵　上　演活　春宮　赤裸　男女　台中站　被　請　下車,o
颱風尼莎襲台台鐵高鐵列車異動,颱風　尼莎襲台　台鐵　高鐵　列車　異動,t
服務到位高捷技術三認證,服務　到位　高捷　技術　三　認證,o
高鐵首辦商機說明會推軌道工業本土化,高鐵　首辦　商機　說明會　推　軌道　工業　本土化,o
天文館天文市集趴趴GO　今晚捷運劍南路站登場,天文館　天文　市集　趴　趴　GO　今晚　捷運　劍南路站　登場,e
彰基進駐高鐵特定區魏明谷踏勘規劃,彰基　進駐　高鐵　特定區　魏明谷　踏勘　規劃,o
高鐵左營站發車時刻調整方便旅客轉乘,高鐵　左營站　發車　時刻　調整　方便　旅客　轉乘,t
歡慶機捷通車半年裝置藝術機場迎客,歡慶　機捷　通車　半年　裝置　藝術　機場　迎客,s
高鐵秋節暨國慶疏運加開194班6日開訂,高鐵　秋節　暨　國慶　疏運　加開　194　班　6日　開訂,t
桃捷107年初招募新血釋136個職缺,桃捷　107　年初　招募　新血　釋　136　個　職缺,o
離譜！　貓咪沒顧好掉落高鐵軌道　高鐵斷電救貓,離譜　！　貓咪　沒　顧好　掉落　高鐵　軌道　高鐵　斷電　救貓,s
國慶連假湧現人潮　高鐵：昨旅運人次創10年來新高,國慶　連假　湧現　人潮　高鐵　：　昨　旅運　人次　創　10　年　來　新高,t
高鐵超值假期住宿加來回票比單購票便宜,高鐵　超值　假期　住宿　加　來回票　比　單　購票　便宜,e
高捷美麗島站美媒讚設計令人驚豔,高捷　美麗島　站美媒讚　設計　令　人　驚豔,s
新電子票證加入使用機捷搭乘更方便,新　電子票證　加入　使用　機捷　搭乘　更　方便,e
會員經濟新時代高鐵集點折票價,會員　經濟　新　時代　高鐵　集點折　票價,e
高鐵車票兌換券福袋市價逾3千只賣一千,高鐵　車票　兌換　券福袋　市價　逾　3千　只　賣　一千,e
輕軌收費高捷提醒上車就要刷卡,輕　軌　收費　高捷　提醒　上車　就　要　刷卡,e
【獨家】300萬人瘋跨年倒數　讓研究團隊發現北捷影響地磁場,【　獨家　】　300萬　人　瘋　跨年　倒數　讓　研究團隊　發現　北捷　影響　地　磁場,o
搭高鐵　旅客最怕這4大「生物」出沒,搭　高鐵　旅客　最　怕　這　4　大　「　生物　」　出沒,o
新加坡地鐵隧道積水台北捷運拔刀相助,新加坡　地鐵　隧道　積水　台北　捷運　拔刀相助,o
媒體：星交通部長稱台北捷運可靠度很高,媒體　：　星　交通部長　稱　台北　捷運　可靠度　很　高,o
擬組團隊搶標北車開發案　北捷將出資50億元成最大股東,擬組　團隊　搶　標北車　開發案　北捷　將　出資　50億　元　成　最　大股東,o
周末湧搭車人潮　高鐵今晚加開全車自由座列車,周末湧　搭　車　人潮　高鐵　今晚　加開　全　車　自由座　列車,t
北捷紅樹林站旅客跳軌受傷獲救　列車已恢復營運,北捷　紅樹林站　旅客　跳軌　受傷　獲救　列車　已　恢復　營運,t
疏運北上旅客　台灣高鐵今加開二列車,疏運　北上　旅客　台灣高鐵　今　加開　二　列車,t
北捷淡水信義線列車故障　中午恢復正常發車,北捷　淡水　信義線　列車　故障　中午　恢復　正常　發車,t
北捷列車故障　逾2000名旅客受影響,北捷　列車　故障　逾　2000　名　旅客　受　影響,t
立委友人告狀　高鐵直呼冤枉,立委　友人　告狀　高鐵　直　呼　冤枉,o
立委友人告狀　高鐵直呼冤枉,立委　友人　告狀　高鐵　直　呼　冤枉,o
今上午捷運板南線軌道有火花　列車一度停駛,今　上午　捷運　板南線　軌道　有　火花　列車　一　度　停駛,t
北市國小兒童搭捷運打6折　明年元旦正式上路,北市　國小　兒童　搭　捷運　打　6　折　明年　元旦　正式　上路,e
創國內軌道運輸業先例　高鐵引進行動支付,創　國內　軌道　運輸業　先例　高鐵　引進　行動支付,e
台北捷運準點率超過99%星媒按讚,台北　捷運　準點率　超過　99　%　星　媒　按讚,o
國內首次　高鐵今舉辦地震後橋梁緊急搶修演練,國內　首　次　高鐵　今　舉辦　地震　後　橋梁　緊急　搶修　演練,o
北捷找伙伴擬搶雙子星開發案遭疑黑箱　柯Ｐ：沒指示找誰,北捷　找　伙伴　擬　搶　雙子星　開發案　遭　疑　黑箱　柯　Ｐ　：　沒　指示　找　誰,o
旅運人次成長　高鐵今加開全車自由座列車,旅運　人次　成長　高鐵　今　加開　全　車　自由座　列車,t
捷運音樂節下午登場　免費參加還送機票,捷運　音樂節　下午　登場　免費　參加　還　送　機票,e
又是正義魔人！　捷運讓位再掀討論,又　是　正義　魔　人　！　捷運　讓位　再　掀　討論,o
星媒：優良企業文化是台北捷運成功關鍵,星媒　：　優良　企業　文化　是　台北　捷運　成功　關鍵,o
北返旅客多高鐵下午晚上開加班車,北　返　旅客　多　高鐵　下午　晚上　開　加班車,t
高鐵因應北上旅客需求　今加開兩班次列車,高鐵　因應　北上　旅客　需求　今　加開　兩　班次　列車,t
捷運博愛座好為難　2歲娃拿博愛座貼紙遭阻止,捷運　博愛座　好　為難　2　歲　娃拿　博愛座　貼紙　遭　阻止,o
廣播禁食！他捷運上還一直吃　網友怒「吃相難看」,廣播　禁食　！　他　捷運　上　還　一直　吃　網友　怒　「　吃相　難看　」,o
扯！搭高鐵坐別人位置　大媽竟嗆「有差嗎」,扯　！　搭　高鐵　坐　別人　位置　大媽　竟　嗆　「　有差　嗎　」,o
台北捷運愈賺愈多　員工擬調薪3%,台北　捷運　愈　賺　愈　多　員工　擬　調薪　3　%,o
北捷年終最高4.4個月　招考擠破頭,北捷　年終　最　高　4.4　個　月　招考　擠破　頭,o
阿里山規模5.5地震　高鐵3班次緊急停車,阿里山　規模　5.5　地震　高鐵　3　班次　緊急　停車,t
高鐵疏運週末南下人潮加開站站停班次,高鐵　疏運　週末　南下　人潮　加開　站站　停　班次,t
北捷加薪完又要加薪？　柯Ｐ：先看盈虧再做處理,北捷　加薪　完　又　要　加薪　？　柯　Ｐ　：　先　看　盈虧　再　做　處理,o
愛心悠遊卡持卡長者　明天起比照敬老卡用於捷運、貓纜優惠,愛心　悠遊卡　持　卡　長者　明天　起　比照　敬老卡　用於　捷運　、　貓纜　優惠,e
高鐵當禮車　餐廳外場主管娶回實習生,高鐵　當　禮車　餐廳　外　場　主管　娶回　實習　生,o
愛心筆翻版？　高鐵站大學生疑受騙,愛心　筆　翻版　？　高鐵　站　大學生　疑　受騙,o
假日人潮多高鐵加開3班北上列車,假日　人潮　多　高鐵　加開　3　班　北上　列車,t
疏運周日北上旅客　台灣高鐵今加開3班車,疏運　周日　北上　旅客　台灣高鐵　今　加開　3　班車,t
新加坡地鐵淹水向台北捷運取經,新加坡　地鐵　淹水　向　台北　捷運　取經,o
日本JR九州5服勤員初體驗　台灣高鐵列車逃生梯好重,日本　JR　九州　5　服　勤員　初　體驗　台灣高鐵　列車　逃生梯　好　重,o
高鐵平日離峰9.6折優惠　12/29起限會員才有,高鐵　平日　離峰　9.6　折　優惠　12　/　29　起　限　會員　才　有,e
立委嫌高鐵會員優惠少交長允促提高,立委　嫌　高鐵　會員　優惠　少　交長允促　提高,o
新加坡專家：學習台北捷運企業文化,新加坡　專家　：　學習　台北　捷運　企業　文化,o
原來高鐵竟可包車　價格「不方便告訴你」,原來　高鐵　竟　可　包車　價格　「　不　方便　告訴　你　」,o
高鐵日益穩健要做公有民營企業模範生,高鐵　日益　穩健　要　做　公有　民營　企業　模範生,o
貼心高鐵列車長徐仁彥王丹臉書讚賞,貼心　高鐵　列車長　徐仁彥　王丹　臉書　讚賞,o
遠見五星服務獎高鐵中市府獲獎,遠見　五　星　服務獎　高鐵　中　市府　獲獎,o
元旦連假高鐵車票12月2日開賣,元旦　連假　高鐵　車票　12月　2日　開賣,e
高鐵離峰優惠調整107年228後會員專屬,高鐵　離峰　優惠　調整　107　年　228　後　會員　專屬,e
高鐵平日離峰9.6折優惠　延長至明年2月底,高鐵　平日　離峰　9.6　折　優惠　延長至　明年　2月　底,e
疏運北返旅客高鐵午後加開3班列車,疏運　北　返　旅客　高鐵　午後　加開　3　班　列車,t
因應周日北上旅客需求　高鐵今加開三班次,因應　周日　北上　旅客　需求　高鐵　今　加開　三　班次,t
雅加達亞運避塞車輕軌捷運通車未知數,雅加達　亞運　避　塞車　輕　軌　捷運　通車　未知數,t
高鐵元旦疏運　加開101班次列車,高鐵　元旦　疏運　加開　101　班次　列車,t
【有片】北捷購入陸製潛盾機　陸官媒：打破日企壟斷,【　有片　】　北捷　購入　陸製　潛盾機　陸官　媒　：　打破　日企　壟斷,o
廠商買中國潛盾機蓋捷運　捷運局：未限制進口國家,廠商　買　中國　潛盾機　蓋　捷運　捷運局　：　未　限制　進口　國家,o
高鐵寒假營隊高鐵探索館為一大亮點,高鐵　寒假　營隊　高鐵　探索館　為　一　大　亮點,e
疏解週末南下人潮高鐵開加班車,疏解　週末　南下　人潮　高鐵　開　加班車,t
周末湧搭人潮　高鐵今晚加開全車自由座列車,周末湧　搭　人潮　高鐵　今晚　加開　全　車　自由座　列車,t
天空灰濛濛　高捷公益路跑5千人清早出發,天空　灰濛濛　高捷　公益路　跑　5千　人　清早　出發,e
疏運北返旅客高鐵午後開2加班車,疏運　北　返　旅客　高鐵　午後　開　2　加班車,t
因應北上旅客需求　高鐵今加開兩班次,因應　北上　旅客　需求　高鐵　今　加開　兩　班次,t
北捷司機用潛意識攻擊市民？1999竟立案,北捷　司機　用　潛意識　攻擊　市民　？　1999　竟　立案,o
高鐵大學生寒假返鄉5折優惠加碼28班次,高鐵　大學生　寒假　返鄉　5　折　優惠　加碼　28　班次,e
寒假將至　高鐵加碼28班大學生5折優惠列車,寒假　將　至　高鐵　加碼　28　班　大學生　5　折　優惠　列車,e
桃捷營運10個月　發行瞬遊機捷專書,桃捷　營運　10　個　月　發行　瞬遊機捷　專書,o
3人貼「功德院」貼紙遭罰1500元　北捷：依法行政,3　人　貼　「　功德院　」　貼紙　遭　罰　1500　元　北捷　：　依法　行政,o
高鐵疏運北返旅客午後開2加班車,高鐵　疏運　北　返　旅客　午後　開　2　加班車,t
高鐵主管隔空打卡　台中上班左營打卡將挨罰,高鐵　主管　隔空　打卡　台中　上班　左營　打卡　將　挨罰,o
台灣高鐵今加開2班次列車　疏運周日北上人潮,台灣高鐵　今　加開　2　班次　列車　疏運　周日　北上　人潮,t
北捷開放多卡通　近9成民眾仍習慣嗶悠遊卡,北捷　開放　多　卡通　近　9成　民眾　仍　習慣　嗶　悠遊卡,o
疏運元旦旅客高鐵再開5加班車,疏運　元旦　旅客　高鐵　再　開　5　加班車,t
台灣觀巴攜手高鐵加購8折優惠,台灣　觀巴　攜手　高鐵　加購　8　折　優惠,e
台灣觀巴與高鐵推34條行程　享高鐵8折優惠,台灣　觀巴　與　高鐵　推　34　條　行程　享　高鐵　8　折　優惠,e
跨界營運淡海輕軌將加值高捷,跨界　營運　淡海　輕　軌　將　加值　高　捷,o
LINE台灣限定聖誕跨年驚喜　等捷運送LINE Points,LINE　台灣　限定　聖誕　跨年　驚喜　等　捷運　送　LINE　Points,e
中台灣七縣市提空污解方　盼中捷延伸彰投,中　台灣　七　縣市　提　空　污解方　盼　中捷　延伸　彰投,o
北市府借貸竟挪用北捷救命錢　柯P：因為它不用利息,北市府　借貸　竟　挪用　北　捷　救命錢　柯　P　：　因為　它　不　用　利息,o
北捷轉投資搶標雙子星案喊卡　議會初審刪光預算,北捷　轉投資　搶　標　雙子星　案喊卡　議會　初審　刪　光　預算,o
紓解周末人潮　高鐵今晚加開全車自由座加班車,紓解　周末　人潮　高鐵　今晚　加開　全　車　自由　座　加班車,t
【汙染片】機捷A7合宜宅汙水排入南新莊　居民疑喝汙水度日,【　汙染片　】　機捷　A　7　合宜　宅　汙水　排入　南　新莊　居民　疑　喝　汙水　度日,o
母抱童尿在捷運垃圾桶　網友：清潔員該死？,母抱童尿　在　捷運　垃圾桶　網友　：　清潔員　該死　？,o
疏運北上人潮高鐵午後開加班車,疏運　北上　人潮　高鐵　午後　開　加班車,t
【有片】帶告白氣球闖高鐵遭阻　「然後哥」惱羞跳針,【　有片　】　帶　告白　氣球　闖　高鐵　遭　阻　「　然後　哥　」　惱羞　跳針,o
疏運北上人潮　台灣高鐵今加開2班北上列車,疏運　北上　人潮　台灣高鐵　今　加開　2　班　北上　列車,t
帶告白氣球跪高鐵閘口　「然後哥」引議論,帶　告白　氣球　跪　高鐵　閘口　「　然後　哥　」　引　議論,o
北捷發制服惹議　員工譏：準備演歌仔戲嗎？,北捷　發　制服　惹　議員　工譏　：　準備　演　歌仔戲　嗎　？,o
最美風景！高鐵乘客不適　8醫護緊急救援,最　美　風景　！　高鐵　乘客　不適　8　醫護　緊急　救援,o
乘客不適湧入8名醫護緊急救援　高鐵這樣說,乘客　不適　湧入　8　名　醫護　緊急　救援　高鐵　這樣　說,o
高醫院長高鐵救人被讚　謙稱：每位醫護都會做,高醫　院長　高鐵　救　人　被　讚　謙稱　：　每　位　醫護　都　會　做,o
北捷兒童優惠票新北5折北市6折,北捷　兒童　優惠　票新北　5　折　北市　6　折,e
高鐵南延屏東縣府：評估報告技術可行,高鐵　南延　屏東　縣府　：　評估報告　技術　可行,o
高鐵延屏東技術可行財務經濟效益不足,高鐵　延　屏東　技術　可行　財務　經濟　效益　不足,o
高鐵「然後哥」被罵翻　本尊現身喊冤,高鐵　「　然後　哥　」　被　罵　翻本　尊　現身　喊冤,o
新北6到12歲兒童明年搭捷運5折　19萬人受惠,新北　6　到　12　歲　兒童　明年　搭　捷運　5　折　19萬　人　受惠,e
高鐵南延屏東可行性報告出爐　500億元省半小時,高鐵　南延　屏東　可行性　報告　出爐　500億　元　省　半　小時,o
新北推兒童搭捷運5折　柯Ｐ：去年問新北說不參加,新北　推　兒童　搭　捷運　5　折　柯　Ｐ　：　去年　問　新北　說　不　參加,e
高鐵推會員回饋　明年228前搭車贈紅利點數100點,高鐵　推　會員　回饋　明年　228　前　搭　車　贈　紅利　點數　100　點,e
元旦連假將湧返鄉出遊潮　高鐵再加開3加班車,元旦　連假　將　湧　返鄉　出遊　潮　高鐵　再　加開　3　加班車,t
高鐵新竹站樂聲飄揚　古典弦樂快閃登場,高鐵　新竹站　樂聲　飄揚　古典　弦樂　快　閃　登場,e
高捷跨年運量35萬人次 比去年成長2成5,高捷　跨年　運量　35萬　人次　比　去年　成長　2成5,t
北捷跨年總運量  超過264萬人次,北捷　跨年　總　運量　超過　264萬　人次,t
北捷跨年疏運264萬人次 比去年少38.8萬,北捷　跨年　疏運　264萬　人次　比　去年　少　38.8　萬,t
疏運跨年 高捷運量單日35萬,疏運　跨年　高　捷運　量　單日　35萬,t
大學生寒假返鄉回校5折 高鐵首開優惠列車,大學生　寒假　返鄉　回　校　5　折　高鐵　首開　優惠　列車,e
高鐵通車10週年  限量紀念品5日開賣,高鐵　通車　10　週年　限量　紀念品　5　日　開賣,e
高鐵10周年辦捐血活動 台北站站長帶頭捐,高鐵　10　周年　辦　捐血　活動　台北站　站長　帶頭　捐,e
高鐵10周年 限量紀念商品明開賣,高鐵　10　周年　限量　紀念　商品　明　開賣,e
南高屏澎交通論壇 高鐵南延屏東受矚目,南高屏　澎　交通　論壇　高鐵　南延　屏東　受　矚目,o
林全「講古」：高鐵BOT經驗值得借鑑,林全　「　講古　」　：　高鐵　BOT　經驗　值得　借　鑑,o
高鐵下個10年 學者：用大數據開發商機,高鐵　下　個　10　年　學者　：　用　大數據　開發　商機,o
高鐵通車10年 鄭運鵬憶差點成高鐵駕駛,高鐵　通車　10　年　鄭運鵬憶　差點　成　高鐵　駕駛,o
4國籍航空機捷預辦登機  外航暫無意願,4　國籍　航空　機捷預　辦　登機　外　航暫無　意願,o
除安全疑慮  高市輕軌攪拌樁將重做,除　安全　疑慮　高市　輕　軌　攪拌　樁　將　重　做,o
機捷算總帳 高鐵局將罰丸紅25億並求償,機捷　算　總帳　高鐵局　將　罰　丸紅　25億　並　求償,o
機捷志工好康 服務30小時送免費搭乘券,機捷　志工　好康　服務　30　小時　送　免費　搭乘券,e
機捷通車紀念品  票卡紅包袋送體驗乘客,機捷　通車　紀念品　票卡　紅包袋　送　體驗　乘客,e
高鐵春節再加開8班  14日凌晨開賣,高鐵　春節　再　加開　8　班　14日　凌晨　開賣,t
高鐵春節加班車 周六凌晨開賣,高鐵　春節　加　班車　周六　凌晨　開賣,t
台北捷運環狀線大事紀,台北　捷運　環狀線　大　事　紀,o
捷運環狀線第一階段工程全線合龍,捷運　環狀線　第一　階段　工程　全線　合龍,s
維護穹頂光彩高捷：含電費年花費百萬元,維護　穹頂　光彩　高捷　：　含　電費年　花費　百萬　元,o
態度放軟？　柯P：請悠遊卡跟高捷協商不懲罰人民,態度　放　軟　？　柯　P　：　請　悠遊卡　跟　高捷　協商　不　懲罰　人民,o
台南捷運工程預定108年開工,台南　捷運　工程　預定　108　年　開工,o
地鐵隧道積水星國聘台北捷運專家檢討,地鐵　隧道　積水星國　聘　台北　捷運　專家　檢討,o
獨居老人圓夢　搭高鐵看布袋戲超興奮,獨居　老人　圓夢　搭　高鐵　看　布袋戲　超　興奮,o
歲末寒冬血庫拉警報　高鐵邀來車站捐「熱血」,歲末　寒冬　血庫　拉　警報　高鐵　邀　來　車站　捐　「　熱血　」,e
北捷月底派員赴星助解決地鐵問題,北捷　月底　派員　赴　星助　解決　地鐵　問題,o
北捷忠孝復興站電扶梯晚間故障　無人受傷,北捷　忠孝　復興　站電　扶梯　晚間　故障　無　人　受傷,s
遭批商務艙空無一人致虧本　高鐵提出4點說明,遭　批　商務艙　空無一人　致　虧本　高鐵　提出　4　點　說明,o
捷運昆陽站列車驚傳揮刀？　捷警隊：誤傳,捷運　昆陽站　列車　驚傳　揮刀　？　捷　警隊　：　誤傳,o
捷運忠孝復興站內空調冒煙　北捷：氣幕機冒火花已滅火,捷運　忠孝　復興　站　內　空調　冒煙　北捷　：　氣　幕機　冒　火花　已　滅火,s
北捷找富邦合作搶標雙子星　柯Ｐ：事前、事後都不知情,北捷　找　富邦　合作　搶　標　雙子星　柯　Ｐ　：　事　前　、　事　後　都　不　知情,o
嘉義地牛翻身高鐵列車一度暫停,嘉義　地　牛　翻身　高鐵　列車　一　度　暫停,t
北捷中山站、忠孝新生站　25日起禁單車搭乘及轉乘,北捷　中山　站　、　忠孝　新生　站　25　日　起　禁　單車　搭乘　及　轉乘,s
北捷這樣也能賺　行政大樓表演廳開放出租,北捷　這樣　也　能　賺　行政　大樓　表演廳　開放　出租,o
台南捷運時代將來臨工程處籌備處揭牌,台南　捷運　時代　將　來臨　工程處　籌備處　揭　牌,o
北捷18個車站開放打流感疫苗　柯Ｐ：給大家方便,北捷　18　個　車站　開放　打　流感　疫苗　柯　Ｐ　：　給　大家　方便,e
照顧桃捷員工　員工餐廳開伙,照顧　桃捷　員工　員工　餐廳　開伙,o
高鐵離峰優惠將限會員立委反對,高鐵　離峰　優惠　將　限　會員　立委　反對,e
行李「溢」到隔壁車廂　高鐵：明年起加大行李區,行李　「　溢　」　到　隔壁　車廂　高鐵　：　明年　起　加大　行李區,t
高鐵將取消平日離峰9.6折引立委不滿　交長：將檢討,高鐵　將　取消　平日　離峰　9.6　折　引　立委　不滿　交長　：　將　檢討,e
高鐵明年元旦疏運加開101班列車　12/2起預購,高鐵　明年　元旦　疏運　加開　101　班　列車　12　/　2　起　預購,t
替代役男捷運環狀線初體驗　期待通車日方便約會,替代　役男　捷運　環狀線　初　體驗　期待　通車　日方　便　約會,o
搭大眾運輸抗空污首日　高捷運量成長1成3,搭　大眾　運輸　抗　空污　首　日高　捷運　量　成長　1成3,t
女神降臨！徐若瑄代言桃捷　形象廣告美呆了,女神　降臨　！　徐若瑄　代言　桃捷　形象　廣告　美呆　了,o
【美片】機捷通車將滿一年　徐若瑄代言形象廣告超吸睛,【　美片　】　機捷　通車　將　滿　一　年　徐若瑄　代言　形象　廣告　超　吸睛,o
直擊高鐵維修　高鐵寒假營隊12/11開放報名,直擊　高鐵　維修　高鐵　寒假　營隊　12　/　11　開放　報名,e
中捷進度超前18列電聯車提前交車,中捷　進度　超前　18　列　電聯車　提前　交　車,o
停車場遭爆無照使用　高鐵竟稱「讓員工測品質」,停車場　遭　爆　無照　使用　高鐵　竟　稱　「　讓　員工　測　品質　」,o
高鐵市集台中站開幕知名糕餅店進駐,高鐵　市集　台中站　開幕　知名　糕餅店　進駐,o
高鐵今加開全車自由座列車　補差價可搭商務艙,高鐵　今　加開　全　車　自由座　列車　補　差價　可　搭　商務艙,t
明晨臺北馬拉松路跑　北捷提早至5:20發車,明晨　臺北　馬拉松　路跑　北捷　提早　至　5　:　20　發車,t
因應年改陳情　北捷部分車站出口今明管制,因應　年改　陳情　北捷　部分　車站　出口　今明　管制,s
高鐵再加開5班次列車疏運元旦旅客　20日開放購票,高鐵　再　加開　5　班次　列車　疏運　元旦　旅客　20日　開放　購票,t
北市雙子星案今招商說明　北捷確定不進場投資,北市　雙子星　案今　招商　說明　北捷　確定　不　進場　投資,o
因應北市府跨年晚會　北捷當天營運42小時不收班,因應　北市府　跨年　晚會　北捷　當天　營運　42　小時　不　收　班,t
捷運兒少票補助不同調立委籲修法,捷運　兒　少　票　補助　不同　調　立委　籲修　法,e
台中鐵路高架107年10月捷運化達標,台中　鐵路　高架　107年　10月　捷運　化達　標,o
北捷關渡站有旅客跳軌　淡信線部分路段單線運行,北捷　關渡站　有　旅客　跳軌淡信線　部分　路段　單線　運行,t
台北跨年晚會實施三階段交管　搭捷運抵會場全攻略,台北　跨年　晚會　實施　三　階段　交管　搭　捷運　抵　會場　全　攻略,o
跨年散場現人潮  北捷乘客讚今年疏運快,跨年　散場　現　人潮　北捷　乘客　讚　今年　疏運　快,t
機捷首支VR影片 滅火器歌聲中賞風光,機捷　首　支　VR　影片　滅火器　歌聲　中　賞　風光,e
爭取高鐵認養集集線 賀陳旦：如大台灣省捷運,爭取　高鐵　認養　集集線　賀陳旦　：　如　大　台灣省　捷運,o
機捷沙包模擬滿載 測試穩定與舒適度,機捷　沙包　模擬　滿載　測試　穩定　與　舒適度,o
通車10周年 台灣高鐵探索館揭牌開幕,通車　10　周年　台灣高鐵　探索　館揭牌　開幕,e
機捷直達車拆28座位 增加行李空間,機捷　直達車　拆　28　座位　增加　行李　空間,t
機捷春節試營運？賀陳旦：不期待協助旅客出國,機捷　春節　試營運　？　賀陳旦　：　不　期待　協助　旅客　出國,o
ㄚ桃園哥─過新年搭機捷  LINE免費貼圖上線,ㄚ　桃園　哥　─　過　新年　搭機　捷　LINE　免費　貼圖　上線,e
鄭文燦：機捷通車  應在春節後,鄭文燦　：　機　捷　通車　應　在　春節　後,t
鄭文燦：元宵節前試營運1個月 免費搭,鄭文燦　：　元宵節　前　試營運　1　個　月　免費　搭,t
苗栗溫泉季為期3個月 接駁車送旅客泡湯慢遊,苗栗　溫泉季　為期　3　個　月　接駁　車　送　旅客　泡湯　慢遊,e
機捷DVR影像  即時影像安全大提升,機捷　DVR　影像　即時　影像　安全　大　提升,s
機捷通車 台北車站成大迷宮？台鐵：將改進,機捷　通車　台北　車站　成　大　迷宮　？　台鐵　：　將　改進,s
高雄捷運去年度首度盈餘7400萬元,高雄　捷運　去年度　首度　盈餘　7400萬　元,o
桃捷徵才逾萬人報考  錄取率僅2%,桃捷　徵才　逾　萬　人　報考　錄取率　僅　2%,o
爭取高鐵到屏東 青年組聯盟號召支持,爭取　高鐵　到　屏東　青年組　聯盟　號召　支持,o
周一晨間列車自由座  高鐵增為7節車廂,周一　晨間　列車　自由座　高鐵　增為　7　節　車廂,t
高鐵3班周一晨間列車加開自由座 運能提升,高鐵　3　班　周一　晨間　列車　加開　自由座　運能　提升,t
二二八連假高鐵加班車  28日凌晨賣,二二八　連假　高鐵　加班車　28日　凌晨　賣,e
高鐵10周年 外籍顧問自發揪團回台灣,高鐵　10　周年　外籍　顧問　自發　揪團　回　台灣,o
機捷通車成真  賀陳旦開懷大笑,機捷　通車　成真　賀陳旦　開懷　大笑,o
高鐵春節疏運啟動  9天1576班,高鐵　春節　疏運　啟動　9　天　1576　班,t
小年夜除夕  高鐵加開4列全車自由座,小年夜　除夕　高鐵　加開　4　列　全　車　自由座,t
高鐵今加開兩班北上全自由座列車,高鐵　今　加開　兩　班　北上　全　自由座　列車,t
高鐵疏運北返旅客  午後加開2班車,高鐵　疏運　北　返　旅客　午後　加開　2　班車,t
機捷試營運  有人新鮮有人不舒服,機捷　試營運　有　人　新鮮　有　人　不　舒服,o
台中文心路路平孔蓋完成下地  首次成功納入寬頻網路,台中文　心路　路平孔　蓋　完成　下　地　首　次　成功　納入　寬頻　網路,o
機捷啟動給幾分 ?鄭文燦：85,機捷　啟動　給　幾　分　?　鄭文燦　：　85,o
機捷試營運Uber暫停 鄭運鵬喻交通奇特日,機捷　試營運　Uber　暫停　鄭運鵬喻　交通　奇特日,o
元宵賞燈 高鐵加開38班列車,元宵　賞燈　高鐵　加開　38　班　列車,t
台灣燈會高鐵加開38班車 9成自由座,台灣　燈會　高鐵　加開　38　班車　9成　自由座,t
機捷今起試營運團體首發 鄭文燦：感受平穩舒適,機捷　今　起　試營運　團體　首發　鄭文燦　：　感受　平穩　舒適,o
華泰名品城6天年假 營收逾3億,華泰　名品城　6　天　年假　營收　逾　3億,o
機捷很搖？ 鄭文燦：多慮了 不會坐雲霄飛車,機捷　很　搖　？　鄭文燦　：　多慮　了　不會　坐　雲霄飛車,o
機場捷運團體試營運  免費試乘,機場捷運　團體　試營運　免費　試　乘,e
桃捷企業識別隱含3T意象  運輸科技信賴,桃捷　企業　識別　隱含　3　T　意象　運輸　科技　信賴,o
2月2日中視午間新聞搶先看,2月　2日　中視　午間　新聞　搶先　看,o
桃捷拒絕民眾自行組團試乘  雙方僵持30分,桃捷　拒絕　民眾　自行　組團　試　乘　雙方　僵持　30　分,o
搭高鐵賞台灣燈會 4日開放購票,搭　高鐵　賞　台灣　燈會　4日　開放　購票,e
2月3日各報頭版要聞,2月　3日　各　報　頭版　要聞,o
台北燈節登場 西門捷運站運量8萬人,台北　燈節　登場　西門　捷運站　運量　8萬　人,t
2月4日中視午間新聞搶先看,2月　4日　中視　午間　新聞　搶先　看,o
台灣燈會將登場  台鐵高鐵都加班,台灣　燈會　將　登場　台鐵　高鐵　都　加班,t
中捷綠線首列電聯車  運抵台中港,中捷綠線　首　列　電聯車　運抵　台中港,o
機捷通車在即 長庚醫院站去年房價漲6.9％稱霸,機捷　通車　在即　長庚　醫院站　去年　房價　漲　6.9％　稱霸,o
